Code,Type,Allongement,Hauteur_aile_m,Surface_alaire_m2,CL_max_atterrissage,Cd_train,Cd_volets
A220,Commercial,10.0,3.5,112.3,2.6,0.025,0.045
A310,Commercial,8.6,4.9,219.0,2.6,0.025,0.045
A320,Commercial,9.4,4.0,122.6,2.5,0.025,0.045
A350,Commercial,9.5,6.0,443.0,2.85,0.027,0.049
A380,Commercial,7.5,8.4,845.0,2.9,0.027,0.047
A400M Atlas,Militaire,8.8,5.3,221.0,2.6,0.026,0.045
AH-64 Apache,Militaire,5.2,3.8,21.5,2.1,0.030,0.040
ATR72,Commercial,11.6,4.2,61.0,2.7,0.03,0.05
B-2 Spirit,Militaire,7.0,3.2,478.0,2.4,0.025,0.043
B737-800,Commercial,10.0,3.5,124.6,2.6,0.024,0.043
B747-400,Commercial,7.8,6.5,541.2,2.8,0.027,0.047
B777-300ER,Commercial,9.0,7.3,427.8,2.8,0.026,0.048
B787-9,Commercial,11.0,6.1,360.0,2.85,0.026,0.048
Beechcraft Bonanza,Commercial,6.9,2.8,17.0,2.3,0.029,0.042
Beechcraft King Air 350,Commercial,10.4,3.0,28.8,2.5,0.027,0.046
C-130 Hercules,Militaire,8.5,4.6,162.1,2.6,0.026,0.045
Cessna 172,Commercial,7.3,2.7,16.2,2.4,0.028,0.042
Cirrus SR22,Commercial,9.0,2.7,13.0,2.3,0.029,0.041
Diamond DA40,Commercial,10.3,2.5,13.5,2.5,0.026,0.043
Embraer E195,Commercial,9.2,3.4,93.5,2.5,0.026,0.045
EmbraerE190,Commercial,9.2,3.6,92.5,2.5,0.026,0.046
Eurofighter Typhoon,Militaire,2.5,4.0,50.0,2.4,0.023,0.041
F/A-18 Super Hornet,Militaire,3.5,4.0,46.5,2.4,0.025,0.042
F16,Militaire,4.0,5.0,27.87,2.1,0.02,0.035
F-22 Raptor,Militaire,2.6,4.2,78.0,2.2,0.024,0.04
F-35 Lightning II,Militaire,2.3,3.9,42.7,2.3,0.024,0.041
Gulfstream G650,Commercial,10.2,3.3,102.0,2.5,0.025,0.044
Learjet 75,Commercial,6.6,2.5,22.0,2.4,0.026,0.043
MD-11,Commercial,8.0,5.3,338.0,2.7,0.026,0.046
Mirage 2000,Militaire,2.0,3.7,41.0,2.1,0.022,0.041
Mooney M20,Commercial,7.5,2.6,15.8,2.4,0.028,0.042
P-3 Orion,Militaire,6.5,4.1,120.8,2.5,0.027,0.044
Pilatus PC-12,Commercial,9.3,2.9,30.0,2.6,0.027,0.045
Piper PA-28,Commercial,7.0,2.6,15.8,2.3,0.027,0.041
Rafale,Militaire,2.7,3.8,45.7,2.3,0.023,0.042
Sukhoi Su-35,Militaire,4.3,5.1,62.0,2.3,0.024,0.043
TBM-930,Commercial,11.0,3.3,19.0,2.3,0.025,0.044
